ID	Last	First	Sex	Approval	KG Number	KG street	Renter	KG phone	cell phone	e-mail	Summer Address	Summer City	Summer State	Summer zip	Summer phone	Born	Also lived in	Education	Occupation/Profession	Military Service	Hobbies/Interests	Volunteer Activities	children	Grandchildren	Great Grandchildren	KingsGate History	Other Information	UnitPhoto	PersonPhoto
R-001	Renken	Mary	F	signed 10-29-11	1	Brookshire			765-381-4569	Mary.A.Renken@trashymail.com		Nokomis				NC	GA		Advertising section of a newspaper		"read, going to flea markets"		1	1					
R-002	Cook	Charles	M	signed 10-29-11	1	Brookshire			239-425-2588	Charles.M.Cook@spambob.com		Nokomis				NC	GA VA	University of North Carolina at Chapel Hill	After career in marines was a Real estate broker and appraiser	Marines	"golf, gardening"	Director of Community College program for seniors	1	1		They rented at Casey Key and visited the sister of a neighbor who lived in KG.  They purchased lot # 1 in 2003			
R-003	Mendez	Leticia	F	declined	2	Brookshire		864-848-8456				Nokomis																	
R-004	Mercado	Bryant	M	declined	2	Brookshire		856-323-1386				Nokomis																	
R-005	Duck	Brandy	F	signed 12-21-11	3	Brookshire	rent	815-701-8639	817-352-6164	Brandy.J.Duck@spambob.com	802 Park Boulevard	Panora	IA	50216	931-787-3426	MN		"Mankato State University,MN, College of St. Scholastica, Duluth,MN"	Librarian and Teacher K - 12			church	2	2			Rented here since 2003		
R-006	Oconnor	Joseph	M		3	Brookshire		661-574-4919	718-367-2147		4068 Providence Lane	Irvine	CA	92614															
R-007	Limones	Michael	M	signed 12-21-11	3	Brookshire	rent	715-384-2439	505-588-2440	Michael.L.Limones@pookmail.com	1225 Tyler Avenue	Miami Springs	FL	33166	616-955-7306	MN		"Augustana College, Sioux Falls, SD"	Sales	Air National Guard	Build model steam engines	church	2	2		Were staying at Venice Camp Ground and visited flea market.  They rented lot # 106 in 2003 and have been at lot # 3 since 2004.	They met in High School and have been married 49 years in 2011.		
R-008	Burch	Helen	F	Declined to participate	4	Brookshire																							
R-009	Billington	John	M	Declined to participate	4	Brookshire																							
R-010	Hartman	Helene	F	signed 11-28-11	5	Brookshire		914-428-3276		Helene.C.Hartman@mailinator.com	1187 Wayside Lane	El Sobrante	CA	94803	580-917-9020	MI			First job was riveting airplanes.  Later worked as a receptionist and bookkeeper		reading	Cooks meals at Senior Center in Sparta for 20 years plus many church activities.	4	17	4		Shirley decided that night she met Doran that she had met the man she would marry - They were married 2 years later when she turned 17		
R-011	Taylor	Harry	M	signed 11-28-11	5	Brookshire		616-717-3835		Harry.K.Taylor@spambob.com	3140 Carriage Lane	Dallas	PA	18612	949-222-1596	MI		Western Michigan	First job was assembling Helm scenes. Later he was a brick and stone mason for 30 years.		"lawn care, handyman, tennis, writes poetry"	Many church activities including in charge of High School Education.  Involved in pancake Breakfast at KG.  Helps Shirley at Senior Center after retirement.	4	17	4	They visited the Reyburn's and then rented in KG for the next few years. They purchased lot# 5 about 1955 with an 8' trailer and built this unit later	One weekend Doran went home with his college roommate and met Shirley.		
R-012	Burdick	Carolyn	F		6	Brookshire			337-231-4875	Carolyn.C.Burdick@pookmail.com	2229 Pine Street	Bridgeville	PA	15017		NY			"Homemaker, middle school cafeteria"		"kniting, cards, crocheing, baking, cooking"	"meals on wheels, church, St Vincent DePaul Society"	15	47	11	"Gail Beck (lot # 235) was the sister of her first husband.  They visted them, rented in 2007 and purchased in 2009."			
R-013	Phillips	Stanley	M		6	Brookshire			864-653-1933	Stanley.S.Phillips@trashymail.com	1408 Christie Way	BOSTON	MA	2110		NY		University of Buffalo	Accountant	Marines	"fishing, reading, cards"	"load trailers with supplies for Nicaragua, soup kitchen, meals on wheels, church, St Vincent DePaul Society"	15	47	11		They have a blended family after the deaths of their first spouces.		
R-014	Brown	Trina	F		7	Brookshire		954-734-6363	908-662-1905		3027 Fantages Way	SWAN VALLEY	ID	83428															
R-015	Walker	Luis	M		7	Brookshire		484-221-7390	541-932-3932		4367 Arbor Court	Wheatland	WY	82201															
R-016	Karlson	Pamela	F	signed 11-28-11	8	Brookshire			615-581-6905							NY		Rochester Business Institute	Executive Secretary		"Shopping, reading"		2	3					
R-017	Lee	Leonard	M	signed 11-28-11	8	Brookshire			606-405-0784							NY		Empire State College	Engineer	Army	Woodworking					They came to visit their friends Butch and Madelyn Ireland in KG. The purchased lot # 8 in 2010.			
R-018	Depalma	Rebecca	F	signed 1-14-2012	9	Brookshire		281-446-2778	832-443-5471	Rebecca.H.Depalma@mailinator.com	1976 Watson Lane	Johnson City	NC	37601	870-480-7516	MI		Davenport College	"Finance office of GE, Homemaker, Trust Department of a bank"		"reading, gardening, travel, cards"	"church, hospice, provide transportation for people with special needs"	4	9			They new each other in High School.  Later they meet one day on the beach.  They celebrate their 50th in 2011		
R-019	Pulaski	Andrew	M	signed 1-14-2012	9	Brookshire		513-933-5366		Andrew.D.Pulaski@dodgit.com	1056 White Avenue	Corpus Christi	TX	78476	917-435-8152	Mi		Davenport College	"Labor Relations, owned a shoe store, Bakery"	Army	"fishing, golfing, travel, camping"	"Hospice Board, Chamber of Commerce, National Blueberry Festival, church"	4	9		Visited the Brashlers (lot 70).  Bought lot # 9 in 1997.			
R-020	Miles	Tonya	F		10	Brookshire			847-887-5814	Tonya.W.Miles@dodgit.com	1882 Zimmerman Lane	Los Angeles	CA	90071	267-739-3725														
R-021	Hemphill	Joshua	M		10	Brookshire			425-818-3731	Joshua.I.Hemphill@spambob.com	1481 Woodridge Lane	Memphis	TN	38110	541-522-0015														
R-022	Young	Joyce	F		11	Brookshire			406-324-2882	Joyce.T.Young@dodgit.com	41 Logan Lane	Lakewood	CO	80214		MI		Pontiac Business School			"cards, gardening, water colors, sewing, travel, camping"	"Hospital, school, church"	4	10	12	Had come to Florida for 30 years.  Found KG while driving around. Liked what they saw.			
R-023	Flack	Robert	M		11	Brookshire			585-719-1631	Robert.E.Flack@spambob.com	832 Seltice Way	Meridian	ID	83642		MI		"General Motors Institute, Eastern Michigan"	"Tool and die, Manufacturing Engineer at GM"		"golf, horse shoes, travel, camping, remodeling"		4	10	12		Spent 5 years in Brazil with the family with General Motors		
R-024	Anderson	June	F		12	Brookshire			786-306-2479	June.R.Anderson@spambob.com	4688 Nutters Barn Lane	Webster City	IA	50595															
R-025	Olivo	Mark	M		12	Brookshire			615-960-9875	Mark.A.Olivo@pookmail.com	609 Evergreen Lane	Alhambra	CA	91801															
R-026	Roache	Brenda	F		13	Brookshire		623-536-3084			727 Bobcat Drive	Washington	MD	20024	319-471-2749	OH			Secretary at government aeronautical testing facility (evolved later into NASA).  Secretary at car dealership		"camping, golf, travel"		2	6	3				
